DATI MISURA

Inizio misura: 11/10/2022 17:18:40
Tempo di acquisizione (sec): 249605.1
Eventi acquisiti: 24237

TDC QDC1 QDC2
6.104321421782962e-07 -3.079166e-09 -3.072916e-09
1.8057672020303619e-06 -3.247916e-09 -3.21875e-09
7.947099031250558e-06 -3.132291e-09 -3.241666e-09
4.023598026779224e-06 -3.266666e-09 -3.233333e-09
3.5009125996988e-06 -4.511459e-09 -4.873959e-09
2.999916863090086e-06 -3.21875e-09 -3.244791e-09
1.831032598206333e-06 -8.045835e-09 -6.859376e-09
9.965644775507199e-08 -3.133333e-09 -3.175e-09
7.806380427793831e-07 -3.147916e-09 -3.133333e-09
1.9755713543299742e-06 -3.173958e-09 -3.24375e-09
4.3994504882409567e-07 -3.202083e-09 -3.130208e-09
1.582289959134754e-06 -4.83125e-09 -4.896875e-09
1.380370754289432e-07 -4.2125e-09 -4.559375e-09
4.855552360445883e-06 -5.348959e-09 -4.869792e-09
4.534409587274801e-06 -3.18125e-09 -3.154166e-09
9.614617978861155e-07 -5.359376e-09 -4.771875e-09
2.3746527763392733e-07 -5.476042e-09 -6.157293e-09
1.084960024853747e-05 -3.232291e-09 -3.2625e-09
1.2571790655620673e-06 -6.810418e-09 -4.7125e-09
4.022994670254126e-06 -3.182291e-09 -3.2125e-09
6.924055858606379e-06 -3.254166e-09 -3.209375e-09
5.046968676483318e-06 -3.234375e-09 -3.219791e-09
4.284264402393095e-07 -6.280209e-09 -4.722917e-09
1.8059917494755861e-06 -3.116666e-09 -3.161458e-09
3.886370555462075e-06 -5.105209e-09 -5.161459e-09
6.752678465909015e-06 -3.1625e-09 -3.154166e-09
2.6888215712187655e-07 -3.207291e-09 -3.132291e-09
2.6278570344003587e-06 -1.005521e-08 -4.540625e-09
7.82450628700005e-07 -3.13125e-09 -3.127083e-09
3.5026386233060827e-06 -6.80521e-09 -5.617709e-09
2.132820308260661e-06 -5.779168e-09 -4.144792e-09
1.1273496735504849e-06 -5.303126e-09 -4.495834e-09
2.3163975602529338e-06 -3.253125e-09 -3.18125e-09
5.217339098646959e-06 -3.236458e-09 -3.169791e-09
1.2939872846007292e-06 -3.241666e-09 -3.216666e-09
7.949464177835837e-06 -3.23125e-09 -3.179166e-09
9.833046870350461e-07 -6.857293e-09 -6.190626e-09
1.095865551159067e-06 -4.5875e-09 -5.004167e-09
3.6834451759429927e-06 -3.154166e-09 -3.147916e-09
3.3451149585457423e-06 -4.894792e-09 -5.339584e-09
2.148277377466913e-06 -3.169791e-09 -3.176041e-09
2.705923330853449e-07 -3.189583e-09 -3.145833e-09
9.525696563607437e-07 -3.175e-09 -3.1375e-09
1.618336039056508e-06 -4.320833e-09 -5.343751e-09
3.682124710645722e-06 -3.214583e-09 -3.204166e-09
3.170374197402367e-06 -3.15625e-09 -3.222916e-09
5.388172976896908e-06 -3.189583e-09 -3.227083e-09
8.980197612805011e-07 -6.278126e-09 -4.689584e-09
