DATI MISURA

Inizio misura: 22/11/2022 17:42:45
Tempo di acquisizione (sec): 173438.3
Eventi acquisiti: 17128

TDC QDC1 QDC2
1.1758267187490738e-05 -3.217708e-09 -3.164583e-09
7.811087011369095e-06 -2.742708e-09 -2.880208e-09
2.63280008278642e-06 -1.083646e-08 -4.39375e-09
6.988873814949228e-06 -4.916667e-09 -7.169793e-09
6.870389931985785e-06 -3.08125e-09 -3.164583e-09
7.809901947978176e-06 -2.713541e-09 -2.741666e-09
4.8994084826205746e-06 -5.930209e-09 -4.141667e-09
7.810900168544757e-06 -2.970833e-09 -2.992708e-09
1.4105642309133635e-07 -5.034375e-09 -4.739584e-09
4.61163368744932e-07 -6.278126e-09 -6.436459e-09
2.547639071617587e-06 -2.751041e-09 -2.735416e-09
8.937994179573289e-06 -2.678124e-09 -2.667708e-09
2.445416563771917e-07 -6.032293e-09 -5.098959e-09
1.1265361046891507e-06 -4.828125e-09 -5.096876e-09
3.675072691287695e-06 -2.978125e-09 -3.0375e-09
4.23793278891897e-06 -3.122916e-09 -3.185416e-09
9.690609386329923e-06 -2.806249e-09 -2.701041e-09
1.0629294310320946e-05 -2.755208e-09 -2.771874e-09
2.069750571517092e-08 -5.536877e-08 -7.49271e-09
3.487411373141942e-06 -5.822918e-09 -5.183334e-09
5.7412494471766645e-06 -3.159375e-09 -3.130208e-09
1.1006446042624005e-06 -5.222917e-09 -4.11875e-09
7.753079564192125e-07 -7.25521e-09 -4.265625e-09
3.862157064472336e-06 -3.08125e-09 -2.951041e-09
1.418678183389407e-06 -2.95e-09 -2.927083e-09
1.1569862036001106e-05 -3.135416e-09 -3.223958e-09
6.672858789850155e-07 -3.275e-09 -3.242708e-09
3.2983617637200567e-06 -2.704166e-09 -2.679166e-09
5.553874700339894e-06 -3.021875e-09 -2.917708e-09
1.0630965254012262e-05 -2.883333e-09 -2.934375e-09
2.8409245115109577e-06 -5.113542e-09 -4.694792e-09
1.711767765193456e-08 -4.972502e-08 -6.460418e-09
2.924207028324584e-06 -3.14375e-09 -3.126041e-09
1.0254732325321378e-05 -3.128125e-09 -3.134375e-09
1.0441559691296646e-05 -2.893749e-09 -2.739583e-09
8.750069645174906e-06 -3.108333e-09 -3.107291e-09
3.1947162045880463e-06 -6.093751e-09 -4.160417e-09
2.904179119373046e-07 -2.966666e-09 -2.946875e-09
8.56276531294856e-06 -2.824999e-09 -2.815624e-09
2.5437249804376897e-06 -6.810418e-09 -4.376042e-09
6.186042177153251e-06 -5.668751e-09 -5.677084e-09
4.349150226015138e-06 -4.617709e-09 -5.082292e-09
5.177406382355432e-06 -2.907291e-09 -2.929166e-09
6.11879714142186e-06 -2.869791e-09 -2.898958e-09
4.427343878522182e-06 -2.967708e-09 -3.135416e-09
1.3071669558255952e-06 -4.873959e-09 -4.919792e-09
8.558728065026302e-07 -2.761458e-09 -2.841666e-09
1.1758104456816479e-05 -3.161458e-09 -3.161458e-09
