DATI MISURA

Inizio misura: 14/11/2022 16:39:45
Tempo di acquisizione (sec): 597195.7
Eventi acquisiti: 59281

TDC QDC1 QDC2
8.747395881333955e-07 -2.961458e-09 -2.913541e-09
2.0915358931072613e-06 -5.379167e-09 -5.684376e-09
1.7971074301022318e-06 -2.922916e-09 -2.882291e-09
2.566135693130205e-06 -2.870833e-09 -2.830208e-09
8.248620049271934e-06 -3.121875e-09 -3.154166e-09
6.059265923636663e-07 -5.153126e-09 -5.684376e-09
2.1045831206683275e-06 -3.215625e-09 -3.208333e-09
4.408105053183545e-06 -2.980208e-09 -2.865624e-09
6.711938694426711e-06 -3.160416e-09 -3.177083e-09
4.750459553422609e-06 -4.575e-09 -4.875e-09
6.712454023824466e-06 -2.848958e-09 -2.845833e-09
4.071469638262546e-06 -4.908334e-09 -5.052084e-09
6.7115234855611996e-06 -3.129166e-09 -3.109375e-09
3.881142053069943e-06 -5.695834e-09 -4.213542e-09
4.8713879919297625e-06 -3.067708e-09 -2.984375e-09
6.865494604755617e-06 -2.739583e-09 -2.736458e-09
6.840271256704669e-07 -4.855209e-09 -5.286459e-09
3.0199195326187103e-06 -1.029792e-08 -4.822917e-09
3.2010139541667075e-06 -8.306252e-09 -4.328125e-09
3.6502290745347484e-07 -6.030209e-09 -4.783334e-09
1.103531762973597e-06 -5.216667e-09 -5.442709e-09
1.1820089793192005e-06 -2.731249e-09 -2.688541e-09
8.553539200068557e-06 -2.893749e-09 -2.871874e-09
3.3967963064034784e-06 -6.247918e-09 -4.278125e-09
7.94162507330651e-06 -2.756249e-09 -2.782291e-09
4.562351413905879e-06 -2.676041e-09 -2.670833e-09
8.554610909418642e-06 -3.1875e-09 -3.21875e-09
2.9291592767526937e-06 -5.552084e-09 -4.705209e-09
3.0291060301980753e-06 -4.954167e-09 -4.694792e-09
5.789464166851502e-06 -3.071875e-09 -3.04375e-09
8.768893096921485e-08 -7.546877e-09 -6.172918e-09
5.1771896384414635e-06 -2.98125e-09 -3.054166e-09
2.2590067936282383e-06 -2.992708e-09 -2.836458e-09
3.3321809341696405e-06 -3.089583e-09 -3.042708e-09
8.863791728896701e-06 -2.685416e-09 -2.795833e-09
3.641673296685978e-06 -2.947916e-09 -2.770833e-09
3.1801458917370694e-06 -3.039583e-09 -2.984375e-09
4.409264205378118e-06 -3.04375e-09 -2.913541e-09
9.630292119166329e-06 -3.108333e-09 -3.127083e-09
2.1335903517026948e-06 -6.365626e-09 -4.460417e-09
6.866291627578476e-06 -2.705208e-09 -2.738541e-09
1.5329536099090143e-06 -4.660417e-09 -4.25e-09
9.475615937299484e-06 -2.744791e-09 -2.765624e-09
1.0282371266612845e-06 -3.122916e-09 -3.022916e-09
5.700016871194155e-07 -2.714583e-09 -2.685416e-09
1.3766444987331023e-06 -5.222917e-09 -6.846876e-09
5.176739930208594e-06 -2.691666e-09 -2.783333e-09
6.711426598482585e-06 -3.046875e-09 -2.948958e-09
