TDC QDC1 QDC2
627.8554096604354 -4.0208330000000005 -3.458333
9996.250709646845 -3.46875 -4.56875
253.76753210972075 -4.0364580000000005 -3.3645829999999997
3589.9777047982648 -3.7333330000000005 -3.6125000000000003
5081.90871001265 -2.9270830000000005 -2.945833
1214.4094196238302 -2.9499999999999997 -2.9499999999999997
3144.704954291258 -2.9791659999999998 -2.964583
8162.618974366213 -2.958333 -2.9499999999999997
1537.1693480159604 -3.8374999999999995 -4.0625
429.9203837734975 -5.946876 -3.4989580000000005
254.77715183243384 -3.0562499999999995 -3.0083330000000004
11241.669875539646 -2.939583 -2.9291659999999995
175.15675561743825 -6.715626 -4.968751
11050.16356789153 -2.939583 -2.928125
1414.0633309532752 -3.9979169999999997 -3.4250000000000003
11271.407837634175 -2.961458 -2.9312500000000004
3351.9519968303607 -3.0260409999999998 -3.0104159999999998
4310.164654165543 -3.039583 -2.970833
6624.8636482744105 -2.9270830000000005 -2.9312500000000004
6431.2798542499095 -2.9812499999999997 -2.933333
10094.635853852948 -2.9562500000000003 -2.9375000000000004
8742.694119808986 -2.939583 -2.9291659999999995
7208.100724786888 -2.9833330000000005 -2.9749999999999996
1107.8827060884284 -3.585417 -3.3729169999999997
4688.929889166163 -2.9479159999999998 -2.9291659999999995
3538.3964884024945 -2.9291659999999995 -2.9520830000000005
9510.093578779879 -2.954166 -3.0093750000000004
12026.04170459317 -2.9416659999999992 -2.9354159999999996
263.4831318886744 -2.930208 -2.928125
1128.6506113879352 -4.564584 -3.38125
2067.762612534136 -3.9020829999999997 -3.65
3144.8780881617377 -2.9562500000000003 -2.9354159999999996
5463.97405422498 -2.9312500000000004 -2.9270830000000005
7764.089854012185 -2.9666659999999996 -2.9270830000000005
3352.8833282615174 -4.956251000000001 -4.620833999999999
959.7078229058824 -3.922917 -4.747917
9718.891827052123 -2.920833 -2.9270830000000005
3530.247319318478 -2.9291659999999995 -2.933333
3919.595936982686 -2.9604159999999995 -2.933333
3916.2299163227685 -2.9375000000000004 -2.9322909999999993
2884.659291107508 -6.014583999999999 -3.539583
819.6673490809775 -2.9270830000000005 -2.930208
826.5037368744614 -2.9291659999999995 -2.945833
9128.714504329282 -3.002083 -2.9749999999999996
2617.4232884735843 -5.9010430000000005 -3.3312500000000003
4209.627355868837 -6.000001 -4.404167
6230.803982539074 -2.933333 -2.9270830000000005
7572.426455106326 -2.939583 -2.9312500000000004
2832.7537475670997 -6.960418000000001 -3.495833
10676.272260506732 -2.939583 -2.9833330000000005
11815.616132885969 -2.954166 -2.925
9715.010396603737 -2.9322909999999993 -2.9562500000000003
11831.618826270469 -2.9562500000000003 -2.9416659999999992
240.05540980140762 -2.94375 -2.9312500000000004
920.4432469801015 -4.121874999999999 -3.7458329999999997
8357.395440141263 -2.939583 -2.9270830000000005
266.7168716689766 -2.954166 -2.939583
3147.4541594914003 -3.0125 -2.9625
9123.737513723267 -2.9520830000000005 -2.945833
2760.569815773496 -2.9354159999999996 -2.9270830000000005
12398.818633939258 -2.945833 -2.9291659999999995
2952.2601938396983 -2.971875 -2.958333
10088.973441709384 -2.9520830000000005 -2.933333
