DATI MISURA

Inizio misura: 24/11/2023 16:28:12
Tempo di acquisizione (sec): 252489.2
Eventi acquisiti: 27752

TDC QDC1 QDC2
3.7599651222544426e-07 -7.814378000000001e-09 -2.689376e-09
7.441253260822131e-06 -8.19583e-10 -8.362497e-10
5.600253116374105e-07 -2.7737509999999998e-09 -7.020628000000001e-09
2.4914041759343963e-06 -8.216664e-10 -8.19583e-10
1.647933568712497e-06 -6.8727109999999994e-09 -5.709168999999999e-09
4.755779555018991e-06 -8.237497e-10 -8.38333e-10
3.195942811769719e-06 -8.424997e-10 -8.25833e-10
3.6219491636379976e-06 -8.19583e-10 -8.279164e-10
3.7174478983164067e-06 -4.113335e-09 -2.021667e-09
3.959804472818315e-07 -1.002896e-08 -5.9487519999999996e-09
1.9892025971164953e-06 -1.248417e-08 -4.9362520000000004e-09
2.3939522982503366e-06 -4.113335e-09 -5.459169e-09
5.319694309353139e-06 -8.19583e-10 -8.404164e-10
1.7072121458897372e-06 -7.831045e-09 -2.427917e-09
6.551721655534015e-07 -8.44583e-10 -8.716664e-10
8.85009684179167e-06 -8.19583e-10 -8.341664e-10
2.495223740290687e-06 -8.279164e-10 -8.487497e-10
8.053696188479506e-06 -5.22271e-09 -2.033125e-09
4.0438263321700274e-07 -2.0425e-09 -2.0300000000000002e-09
6.306464762014873e-06 -8.174997e-10 -8.549997e-10
6.974940524718531e-06 -2.0508339999999997e-09 -3.786251e-09
2.9350176141935517e-06 -1.3068549999999998e-08 -4.865417999999999e-09
8.176228126426923e-06 -5.702919e-09 -6.714376999999999e-09
1.6466508239782672e-06 -8.279164e-10 -8.50833e-10
2.336788039881775e-06 -7.663336e-09 -3.6320840000000006e-09
1.3613884378383029e-06 -8.216664e-10 -8.237497e-10
5.45970169938739e-06 -8.341664e-10 -8.19583e-10
6.693072776487583e-07 -5.757085e-09 -2.5133339999999997e-09
7.724730495647263e-06 -8.174997e-10 -8.19583e-10
2.7731599382768253e-06 -1.3493549999999999e-08 -4.302917999999999e-09
1.624175371259673e-06 -3.3091679999999994e-09 -1.9195839999999997e-09
5.603048444756829e-06 -8.19583e-10 -8.19583e-10
7.581758176663157e-06 -8.32083e-10 -8.237497e-10
4.530099490292342e-06 -6.7195859999999995e-09 -3.6466679999999996e-09
2.7780839188148694e-06 -1.9133339999999997e-09 -2.6716669999999996e-09
1.0814889864483115e-06 -8.216664e-10 -8.216664e-10
3.5017625083409626e-06 -6.6810439999999995e-09 -3.945626e-09
3.904313351202241e-06 -8.19583e-10 -8.362497e-10
6.788779731489274e-07 -6.971669000000001e-09 -2.41125e-09
7.864873505910442e-06 -8.154163e-10 -8.19583e-10
3.6994306227523724e-06 -2.9008340000000007e-09 -3.6779179999999994e-09
5.270895518702455e-07 -1.940417e-09 -2.8279169999999998e-09
5.129290022187211e-07 -8.174997e-10 -8.154163e-10
4.261244836132809e-07 -2.752917e-09 -2.082084e-09
