DATI MISURA

Inizio misura: 10/11/2023 18:37:19
Tempo di acquisizione (sec): 244899.0
Eventi acquisiti: 24802

TDC QDC1 QDC2
2.0653089293762877e-06  
6.600750312017271e-06 -5.727079e-10 -5.164578e-10
3.3841005698205824e-06 -8.591663e-10 -8.424996e-10
5.34814566358489e-06 -8.174996e-10 -6.924996e-10
2.1465103864713246e-06 -3.865418e-09 -1.8352079999999999e-09
1.1594348479967873e-06 -4.5445849999999996e-09 -4.469585e-09
9.457851203185336e-06 -7.695829e-10 -8.674997e-10
3.6159343208372526e-06 -7.330003e-09 -3.0633340000000005e-09
8.557581544677027e-07 -2.301875e-09 -2.235209e-09
3.091596930401464e-07 -4.758126e-09 -3.9227090000000005e-09
9.63953559873349e-06 -7.94583e-10 -6.779162e-10
6.4216357470653315e-06 -5.164578e-10 -6.143745e-10
2.3587564052228746e-07 -2.930001e-09 -3.002917e-09
3.018086810327562e-06 -4.932085e-09 -3.011251e-09
7.136566483159165e-06 -4.893745e-10 -4.935411e-10
3.1650215894453975e-06 -3.022709e-09 -2.4747919999999997e-09
6.270542449452141e-07 -2.8143759999999995e-09 -2.021667e-09
2.5490443975501217e-06 -2.8893759999999998e-09 -2.143542e-09
4.9916461697492556e-06 -8.112496e-10 -7.383329e-10
5.653614386905318e-06 -4.012293e-09 -3.466459e-09
5.573585593283473e-07 -4.334168e-09 -2.5195839999999997e-09
7.02881400928519e-07 -5.977079e-10 -6.477079e-10
8.387963973328337e-06 -6.216662e-10 -6.831246e-10
1.0711191619612155e-05 -8.060413e-10 -8.122913e-10
6.957153273981126e-06 -8.341663e-10 -9.10208e-10
1.0888504127652292e-05 -6.404162e-10 -7.393746e-10
6.956345016775201e-06 -6.393745e-10 -5.706245e-10
3.3842636646044404e-06 -6.154162e-10 -6.799996e-10
2.669617191441364e-06 -6.654162e-10 -7.227079e-10
5.527954496656771e-06 -5.810412e-10 -7.174996e-10
5.352125350230978e-06 -5.914579e-10 -5.247912e-10
4.0353272238791e-07 -6.364377e-09 -2.0904169999999998e-09
3.0278328498070624e-06 -7.310413e-10 -5.747912e-10
1.1425820973800531e-05 -6.310412e-10 -6.654162e-10
2.226584454873532e-06 -8.062295000000001e-09 -2.771667e-09
3.5062111983437884e-06 -2.155e-09 -1.874792e-09
9.637367335579881e-06 -5.685412e-10 -4.789578e-10
5.350234941463313e-06 -5.602078e-10 -6.331245e-10
3.967642672136223e-06 -5.318543e-09 -2.9352090000000003e-09
5.961649264765503e-07 -2.505e-09 -3.4279179999999997e-09
7.136118678453693e-06 -6.737496e-10 -6.997912e-10
3.7416782744679555e-06 -7.602079e-10 -7.862496e-10
4.276748431733602e-06 -6.133329e-10 -6.227079e-10
2.7327960873833874e-07 -7.655003e-09 -1.993542e-09
2.84781208948083e-06 -6.737496e-10 -5.945829e-10
9.281015293870049e-06 -7.581246e-10 -6.966662e-10
5.16871320540476e-06 -5.977079e-10 -5.852079e-10
