DATI MISURA

Inizio misura: 29/11/2024 18:17:30
Tempo di acquisizione (sec): 246236.1
Eventi acquisiti: 25332

TDC QDC1 QDC2
5.091832955758538e-06  
3.866297067276909e-06 -1.1057490000000001e-09 -1.1088989999999999e-09
1.550516352224703e-06 -6.341064999999999e-09 -3.614732e-09
4.240897687391908e-06 -5.198136e-09 -3.658832e-09
4.356152573492392e-06 -6.35734e-09 -3.779057e-09
3.4570914400574453e-07 -3.937083e-09 -8.155995e-09
4.548737762665005e-06 -1.1099489999999998e-09 -1.0941989999999999e-09
7.139148847210819e-06 -1.1309489999999998e-09 -1.1125739999999998e-09
6.182950327631148e-06 -1.1052239999999999e-09 -1.138299e-09
1.7897844570652436e-06 -1.013368e-08 -2.8051789999999997e-09
6.046447759486668e-06 -1.142499e-09 -1.1267490000000002e-09
9.937719847184605e-07 -2.675504e-09 -2.051802e-09
1.5242951829317655e-06 -6.569965999999999e-09 -5.855438000000001e-09
2.6195194665344335e-06 -5.7871879999999995e-09 -4.710935000000001e-09
3.2328664796590874e-06 -1.1080250000000001e-08 -2.041302e-09
9.222236577635559e-07 -9.088923000000001e-09 -4.1497079999999995e-09
6.047374850763839e-06 -1.1057490000000001e-09 -1.106799e-09
3.619717108323429e-06 -2.224002e-09 -3.728132e-09
3.5944771529488266e-06 -1.1225490000000001e-09 -1.1309489999999998e-09
7.409906528082812e-06 -1.083174e-09 -1.1141489999999998e-09
2.2294522695734307e-06 -1.1319990000000001e-09 -1.1141489999999998e-09
3.999556081134187e-06 -1.0941989999999999e-09 -1.107849e-09
1.8461857102047636e-07 -1.1151989999999997e-09 -1.107849e-09
4.6323309818064017e-07 -4.156008e-09 -2.191452e-09
4.695221642140446e-06 -2.3132529999999998e-09 -3.773282e-09
2.079438143701115e-06 -3.3170559999999993e-09 -1.729451e-09
5.374212286156458e-07 -7.874595e-09 -2.951655e-09
1.52820248773875e-06 -1.183416e-08 -3.495031e-09
5.2285109800177754e-06 -1.1183489999999999e-09 -1.150899e-09
2.365664610934103e-06 -1.132524e-09 -1.1225490000000001e-09
1.4034619240753374e-06 -7.680344e-09 -5.239087e-09
4.733777499632793e-07 -1.11401e-08 -6.737966e-09
6.7187299512732e-07 -4.152333e-09 -5.0395859999999995e-09
1.7162646921275833e-06 -1.031585e-08 -2.6797039999999998e-09
3.866120045738345e-06 -1.117299e-09 -1.1309489999999998e-09
1.8559916391449372e-07 -1.1204489999999999e-09 -1.128849e-09
2.5044915410211e-06 -1.1099489999999998e-09 -1.110999e-09
4.510282210295383e-07 -9.094173e-09 -3.4115559999999993e-09
8.578663495872917e-07 -3.0955050000000003e-09 -4.379134e-09
4.007100583582465e-06 -4.7692099999999995e-09 -4.820135e-09
1.4126543518228937e-06 -1.106799e-09 -1.1141489999999998e-09
7.190131809911262e-07 -2.405653e-09 -4.71146e-09
1.4923346177186579e-06 -6.435565e-09 -4.053633e-09
