DATI MISURA

Inizio misura: 14/10/2024 16:53:30
Tempo di acquisizione (sec): 250378.1
Eventi acquisiti: 24748

TDC QDC1 QDC2
7.4674265510841994e-06  
4.382766423761577e-06 -1.0776489999999998e-09 -1.121749e-09
8.272746929565117e-06 -9.663483e-10 -9.511233e-10
3.042701188855609e-06 -9.852484e-10 -9.873484e-10
5.727169935578088e-07 -5.344861999999999e-09 -3.7163070000000002e-09
4.516038840656497e-06 -1.182124e-09 -1.1899990000000001e-09
8.541289093131454e-06 -1.2970989999999999e-09 -1.3480239999999999e-09
1.702703168233734e-06 -1.086574e-09 -1.094974e-09
1.6461288310154498e-07 -4.040758e-09 -3.1487800000000004e-09
5.3220614529626925e-06 -8.865481e-10 -8.76048e-10
4.5165076508938394e-06 -1.004148e-09 -1.018323e-09
2.2289574173519532e-07 -1.0681989999999998e-09 -1.031974e-09
4.11327273822064e-06 -1.1233239999999998e-09 -1.122799e-09
6.024133938207677e-07 -4.393034000000001e-09 -2.7487290000000004e-09
9.314505678840726e-07 -4.1662330000000005e-09 -3.29893e-09
2.961625721046276e-07 -6.794390999999999e-09 -4.77156e-09
3.040881092920372e-06 -1.141699e-09 -1.216774e-09
3.134598601290512e-07 -5.908187999999999e-09 -3.1188549999999998e-09
3.3316896146049793e-06 -6.3948649999999995e-09 -3.31783e-09
2.774165708022467e-06 -9.584733e-10 -9.799984e-10
8.676763055839983e-06 -9.500733e-10 -9.395732e-10
6.265491673474179e-07 -9.337982e-10 -9.421982e-10
8.13801435022542e-06 -9.946984e-10 -1.012548e-09
6.260977086497479e-06 -9.868234e-10 -9.831484e-10
7.3333616712630075e-06 -1.1495739999999998e-09 -1.1101989999999998e-09
3.0411624717707086e-06 -1.065574e-09 -1.0419489999999998e-09
6.39483910092994e-06 -8.944231e-10 -8.928481e-10
5.05390574681901e-06 -1.005723e-09 -1.0330239999999998e-09
4.924739539328808e-07 -9.889234e-10 -1.009398e-09
4.2492578055104875e-06 -8.870731e-10 -8.71323e-10
2.6380194183230036e-06 -9.915484e-10 -9.558483e-10
1.4300211724745106e-06 -1.1805490000000001e-09 -1.156924e-09
6.406250919926533e-07 -6.50984e-09 -3.4506559999999997e-09
7.42319130530822e-07 -4.768409999999999e-09 -3.21388e-09
3.9793093383435955e-06 -9.815734e-10 -9.799984e-10
4.382818790938669e-06 -1.1012739999999999e-09 -1.101799e-09
8.717915218831182e-07 -2.8421790000000003e-09 -3.135655e-09
2.255115179625078e-07 -1.1737239999999998e-09 -1.1679489999999998e-09
7.736901135389953e-06 -1.175299e-09 -1.156399e-09
1.5659065093281729e-06 -8.802481e-10 -9.096481e-10
1.6994236786562268e-06 -1.0408989999999999e-09 -1.0177980000000001e-09
7.709128222188497e-07 -3.301555e-09 -2.4820279999999997e-09
2.1027235771589386e-06 -1.012548e-09 -1.0214730000000001e-09
5.456919094334614e-06 -1.086574e-09 -1.077124e-09
