DATI MISURA

Inizio misura: 03/12/2024 18:39:10
Tempo di acquisizione (sec): 243861.2
Eventi acquisiti: 25804

TDC QDC1 QDC2
6.114368590866889e-06  
7.679717291801672e-07 -5.867502e-09 -7.1362530000000006e-09
7.6460954758792e-07 -6.8727109999999994e-09 -1.709167e-09
1.3492180525923227e-06 -2.43e-09 -5.5154190000000005e-09
4.344583199836415e-06 -7.841663e-10 -7.44583e-10
2.2214437280814137e-06 -7.987497e-10 -8.00833e-10
1.8665103589464267e-06 -8.091663e-10 -8.154163e-10
2.811416169458825e-06 -9.741462e-09 -2.3154169999999997e-09
6.304400851307132e-07 -7.768747e-10 -7.75833e-10
4.444264324445752e-06 -4.405001e-09 -3.530001e-09
1.78307475178095e-07 -8.755003e-09 -2.9008340000000007e-09
1.025354323411573e-06 -2.4372919999999998e-09 -4.0654179999999996e-09
1.3085770948837687e-06 -4.436251e-09 -3.857084e-09
7.526779546769101e-06 -8.154163e-10 -8.13333e-10
1.3948388805278084e-06 -1.9695839999999998e-09 -4.942502e-09
5.968671076308104e-07 -4.965086e-08 -1.9133339999999997e-09
1.525222104382908e-06 -1.275709e-08 -3.744584e-09
1.0356520553979656e-05 -8.112497e-10 -8.00833e-10
4.440957776384992e-06 -8.147711e-09 -2.6862509999999994e-09
4.1668188490135174e-07 -4.8904179999999995e-09 -2.700834e-09
3.458204583911411e-06 -8.029163e-10 -7.279163e-10
5.41009116770694e-06 -3.9445840000000005e-09 -2.355e-09
1.1242464932044987e-05 -8.049997e-10 -7.893747e-10
3.1505231607267935e-06 -4.588335e-09 -1.6008329999999999e-09
5.405966134982578e-06 -7.82083e-10 -8.049997e-10
2.801400387466792e-06 -6.3987519999999995e-09 -2.0674999999999997e-09
1.3685985866724225e-06 -4.032085e-09 -3.2727090000000005e-09
1.0358435353998211e-05 -8.00833e-10 -7.779163e-10
9.82819259281445e-06 -8.07083e-10 -7.97708e-10
2.927464297824353e-06 -8.07083e-10 -7.88333e-10
8.76629130557456e-06 -6.94583e-10 -7.341663e-10
1.0537408054009745e-05 -8.112497e-10 -7.63333e-10
8.235023280864275e-06 -8.112497e-10 -8.154163e-10
1.1421040687122425e-05 -7.966663e-10 -7.69583e-10
3.3599107587402823e-06 -6.709169e-09 -1.4529170000000003e-09
1.1067328306801549e-05 -7.956247e-10 -8.00833e-10
1.688475308470633e-06 -2.902917e-09 -7.525836e-09
5.5839510422395675e-06 -7.862497e-10 -8.091663e-10
1.441287544003853e-06 -2.5258339999999998e-09 -1.7320829999999998e-09
1.237845865050662e-06 -3.2862509999999994e-09 -2.2425e-09
5.575132935117088e-06 -7.0695859999999985e-09 -2.444584e-09
1.543057002331223e-06 -5.059168e-09 -2.9570840000000003e-09
4.9503797564219206e-06 -1.0883129999999999e-08 -1.8591670000000002e-09
1.8340300856984897e-06 -7.575835999999998e-09 -6.594585999999999e-09
9.78031428384453e-06 -8.800837e-09 -3.850834e-09
