DATI MISURA

Inizio misura: 07/10/2025 17:14:44
Tempo di acquisizione (sec): 235032.07
Eventi acquisiti: 23835

TDC QDC1 QDC2
1.615789371114617e-07 -3.853959e-09 -3.338334e-09
2.1001585088846265e-06 -6.549996e-10 -5.414578e-10
6.488775362220625e-06 -7.695829e-10 -7.924996e-10
6.219408666780347e-06 -8.549997e-10 -8.591663e-10
7.151241348789373e-06 -7.320829e-10 -6.956246e-10
6.135778747753328e-07 -2.303959e-09 -3.121667e-09
6.22027502027772e-06 -7.622913e-10 -6.560412e-10
5.954328799601069e-06 -6.049995e-10 -5.654162e-10
7.5499480905756225e-06 -7.206246e-10 -6.872912e-10
5.821897403437719e-06 -7.081246e-10 -6.904162e-10
2.62956888310781e-06 -8.94583e-10 -8.32083e-10
1.5694547440574376e-06 -4.945828e-10 -6.258329e-10
4.40331400671643e-06 -2.252917e-09 -2.162292e-09
7.786763548784739e-07 -4.008126e-09 -2.761251e-09
6.69890254779796e-07 -2.923751e-09 -3.711251e-09
5.9542389040534005e-06 -7.299996e-10 -8.549997e-10
3.6962026472471547e-06 -7.164579e-10 -6.883329e-10
6.354430490440236e-06 -8.737497e-10 -9.13333e-10
7.417315235056772e-06 -8.779163e-10 -8.63333e-10
1.036185312720557e-06 -8.737497e-10 -8.75833e-10
1.9514893478069275e-06 -2.319584e-09 -2.821667e-09
3.8279844358992856e-06 -8.63333e-10 -8.497913e-10
3.959377857957214e-06 -7.88333e-10 -8.612497e-10
7.681256370997907e-06 -4.424995e-10 -4.539578e-10
2.386246249588528e-07 -8.685413e-10 -8.487496e-10
4.63127572221577e-07 -3.923751e-09 -3.852918e-09
5.291222343470505e-06 -4.831245e-10 -5.091662e-10
4.231300444745812e-06 -2.874792e-09 -2.753959e-09
7.952312019954835e-08 -2.575834e-09 -5.959169e-09
3.296036251992433e-06 -6.185412e-10 -6.966662e-10
2.2381412264476957e-07 -5.018543e-09 -3.509168e-09
3.7214662514005493e-07 -9.25833e-10 -8.94583e-10
6.221342175502017e-06 -5.841662e-10 -5.695829e-10
6.751819357460635e-06 -8.685413e-10 -8.75833e-10
3.701359500821278e-07 -8.63333e-10 -9.279164e-10
6.088450243714066e-06 -8.75833e-10 -8.893747e-10
6.389214988239446e-07 -2.496667e-09 -2.572709e-09
8.487158060992163e-07 -3.746668e-09 -2.105e-09
1.6693404633290307e-07 -2.138334e-09 -1.325833e-09
3.661128538427182e-06 -5.39146e-09 -3.711251e-09
8.481902123529404e-06 -8.924997e-10 -8.779163e-10
1.4338472588280849e-06 -8.456246e-10 -7.664579e-10
1.1088498273223975e-07 -7.243544e-09 -2.730001e-09
1.660232094212098e-06 -2.005e-09 -1.652917e-09
7.68302325637056e-06 -7.924996e-10 -7.893746e-10
5.043962654728145e-07 -5.570828e-10 -5.341662e-10
4.604099187782438e-07 -5.40396e-09 -1.831042e-09
1.1797600566201008e-07 -3.618543e-09 -2.583125e-09
